Date,Plate,Plate ID,Primer,Sample,Line,Tissue,Male/Female,Cq,Cas9 Ct,RPE Ct,RPL19 Ct,Cas9 Standardised,RPE Standardised,RPL19 Standardised,DELTA STANDARDISED
08.06.23,1,1,Cas9,1,004.2A,Soma M,Male,,NA,,,,,,
08.06.23,1,1,Cas9,1,004.2A,Soma M,Male,38.50,,,,,,,
08.06.23,1,1,Cas9,1,004.2A,Soma M,Male,36.52,,,,,,,
08.06.23,1,1,RPE,1,004.2A,Soma M,Male,,NA,,,,,,
08.06.23,1,1,RPE,1,004.2A,Soma M,Male,,,,,,,,
08.06.23,1,1,RPE,1,004.2A,Soma M,Male,,,,,,,,
08.06.23,1,1,RPL19,1,004.2A,Soma M,Male,24.40,,,24.18012998,,,23.19012991,
08.06.23,1,1,RPL19,1,004.2A,Soma M,Male,23.96,,,,,,,
08.06.23,1,1,RPL19,1,004.2A,Soma M,Male,29.10,,,,,,,
08.06.23,1,1,Cas9,2,004.2C,Soma M,Male,26.50,26.59633499,,,25.50740894,,,0.013321568
08.06.23,1,1,Cas9,2,004.2C,Soma M,Male,26.69,,,,,,,
08.06.23,1,1,Cas9,2,004.2C,Soma M,Male,27.04,,,,,,,
08.06.23,1,1,RPE,2,004.2C,Soma M,Male,25.28,,26.09572441,,,25.02729471,,
08.06.23,1,1,RPE,2,004.2C,Soma M,Male,26.21,,,,,,,
08.06.23,1,1,RPE,2,004.2C,Soma M,Male,25.98,,,,,,,
08.06.23,1,1,RPL19,2,004.2C,Soma M,Male,19.90,,,20.10027642,,,19.27731662,
08.06.23,1,1,RPL19,2,004.2C,Soma M,Male,20.30,,,,,,,
08.06.23,1,1,RPL19,2,004.2C,Soma M,Male,20.80,,,,,,,
08.06.23,1,1,Cas9,11,Ben,Testes,Male,,NA,,,,,,
08.06.23,1,1,Cas9,11,Ben,Testes,Male,,,,,,,,
08.06.23,1,1,Cas9,11,Ben,Testes,Male,,,,,,,,
08.06.23,1,1,RPE,11,Ben,Testes,Male,,,NA,,,,,
08.06.23,1,1,RPE,11,Ben,Testes,Male,37.68,,,,,,,
08.06.23,1,1,RPE,11,Ben,Testes,Male,39.46,,,,,,,
08.06.23,1,1,RPL19,11,Ben,Testes,Male,29.37,,,NA,,,,
08.06.23,1,1,RPL19,11,Ben,Testes,Male,27.46,,,,,,,
08.06.23,1,1,RPL19,11,Ben,Testes,Male,30.25,,,,,,,
08.06.23,1,1,Cas9,12,3.3,Ovaries,Female,24.95,NA,,,,,,
08.06.23,1,1,Cas9,12,3.3,Ovaries,Female,25.52,,,,,,,
08.06.23,1,1,Cas9,12,3.3,Ovaries,Female,38.54,,,,,,,
08.06.23,1,1,RPE,12,3.3,Ovaries,Female,28.26,,NA,,,,,
08.06.23,1,1,RPE,12,3.3,Ovaries,Female,22.45,,,,,,,
08.06.23,1,1,RPE,12,3.3,Ovaries,Female,24.78,,,,,,,
08.06.23,1,1,RPL19,12,3.3,Ovaries,Female,17.43,,,NA,,,,
08.06.23,1,1,RPL19,12,3.3,Ovaries,Female,29.58,,,,,,,
08.06.23,1,1,RPL19,12,3.3,Ovaries,Female,22.98,,,,,,,
08.06.23,1,1,Cas9,21,3.3,Testes,Male,36.89,NA,,,,,,
08.06.23,1,1,Cas9,21,3.3,Testes,Male,32.62,,,,,,,
08.06.23,1,1,Cas9,21,3.3,Testes,Male,27.33,,,,,,,
08.06.23,1,1,RPE,21,3.3,Testes,Male,32.23,,NA,,,,,
08.06.23,1,1,RPE,21,3.3,Testes,Male,,,,,,,,
08.06.23,1,1,RPE,21,3.3,Testes,Male,30.07,,,,,,,
08.06.23,1,1,RPL19,21,3.3,Testes,Male,23.72,,,23.53825604,,,22.57453603,
08.06.23,1,1,RPL19,21,3.3,Testes,Male,21.04,,,,,,,
08.06.23,1,1,RPL19,21,3.3,Testes,Male,23.36,,,,,,,
08.06.23,1,1,Cas9,22,3.4,Testes,Male,25.51,23.5992509,,,22.6330336,,,0.288170103
08.06.23,1,1,Cas9,22,3.4,Testes,Male,23.85,,,,,,,
08.06.23,1,1,Cas9,22,3.4,Testes,Male,23.35,,,,,,,
08.06.23,1,1,RPE,22,3.4,Testes,Male,,,NA,,,,,
08.06.23,1,1,RPE,22,3.4,Testes,Male,35.33,,,,,,,
08.06.23,1,1,RPE,22,3.4,Testes,Male,28.86,,,,,,,
08.06.23,1,1,RPL19,22,3.4,Testes,Male,21.88,,,21.72761357,,,20.83802617,
08.06.23,1,1,RPL19,22,3.4,Testes,Male,21.23,,,,,,,
08.06.23,1,1,RPL19,22,3.4,Testes,Male,21.58,,,,,,,
08.06.23,1,1,RPE,29,004.2C,Ovaries,Female,25.82,,,,,,,
08.06.23,1,1,RPE,29,004.2C,Ovaries,Female,26.04,,,,,,,
08.06.23,1,1,RPE,29,004.2C,Ovaries,Female,22.49,,25.92928665,,,24.86767136,,
08.06.23,1,1,Cas9,31,004.2C,Ovaries,Female,29.67,29.49659638,,,28.28892577,,,0.001175084
08.06.23,1,1,Cas9,31,004.2C,Ovaries,Female,29.32,,,,,,,
08.06.23,1,1,Cas9,31,004.2C,Ovaries,Female,28.68,,,,,,,
08.06.23,1,1,RPE,31,004.2C,Ovaries,Female,31.06,,31.30906133,,,30.02718348,,
08.06.23,1,1,RPE,31,004.2C,Ovaries,Female,27.96,,,,,,,
08.06.23,1,1,RPE,31,004.2C,Ovaries,Female,31.56,,,,,,,
08.06.23,1,1,RPL19,31,004.2C,Ovaries,Female,20.91,,,19.34806787,,,18.55590552,
08.06.23,1,1,RPL19,31,004.2C,Ovaries,Female,19.13,,,,,,,
08.06.23,1,1,RPL19,31,004.2C,Ovaries,Female,19.57,,,,,,,
08.06.23,1,1,Cas9,41,004.2C,Soma M,Male,26.62,26.39305924,,,25.31245585,,,0.050600715
08.06.23,1,1,Cas9,41,004.2C,Soma M,Male,26.27,,,,,,,
08.06.23,1,1,Cas9,41,004.2C,Soma M,Male,26.29,,,,,,,
08.06.23,1,1,RPE,41,004.2C,Soma M,Male,27.40,,NA,,,,,
08.06.23,1,1,RPE,41,004.2C,Soma M,Male,28.44,,,,,,,
08.06.23,1,1,RPE,41,004.2C,Soma M,Male,31.16,,,,,,,
08.06.23,1,1,RPL19,41,004.2C,Soma M,Male,20.52,,,21.90459075,,,21.00775743,
08.06.23,1,1,RPL19,41,004.2C,Soma M,Male,21.95,,,,,,,
08.06.23,1,1,RPL19,41,004.2C,Soma M,Male,21.86,,,,,,,
08.06.23,1,1,Cas9,51,3.3,Soma M,Male,29.22,29.24153338,,,28.04430574,,,0.020225185
08.06.23,1,1,Cas9,51,3.3,Soma M,Male,29.26,,,,,,,
08.06.23,1,1,Cas9,51,3.3,Soma M,Male,30.54,,,,,,,
08.06.23,1,1,RPE,51,3.3,Soma M,Male,34.79,,NA,,,,,
08.06.23,1,1,RPE,51,3.3,Soma M,Male,33.77,,,,,,,
08.06.23,1,1,RPE,51,3.3,Soma M,Male,36.40,,,,,,,
08.06.23,1,1,RPL19,51,3.3,Soma M,Male,23.55,,,23.37358021,,,22.41660248,
08.06.23,1,1,RPL19,51,3.3,Soma M,Male,23.34,,,,,,,
08.06.23,1,1,RPL19,51,3.3,Soma M,Male,23.23,,,,,,,
08.06.23,2,2,Cas9,3,3.3,Soma M,Male,23.08,23.23030295,,,24.47118878,,,0.315804668
08.06.23,2,2,Cas9,3,3.3,Soma M,Male,23.11,,,,,,,
08.06.23,2,2,Cas9,3,3.3,Soma M,Male,23.50,,,,,,,
08.06.23,2,2,RPE,3,3.3,Soma M,Male,26.68,,NA,,,,,
08.06.23,2,2,RPE,3,3.3,Soma M,Male,27.50,,,,,,,
08.06.23,2,2,RPE,3,3.3,Soma M,Male,28.27,,,,,,,
08.06.23,2,2,RPL19,3,3.3,Soma M,Male,21.81,,,21.65172951,,,22.80829318,
08.06.23,2,2,RPL19,3,3.3,Soma M,Male,21.48,,,,,,,
08.06.23,2,2,RPL19,3,3.3,Soma M,Male,21.66,,,,,,,
08.06.23,2,2,Cas9,13,3.4,Ovaries,Female,22.32,22.12003922,,,23.30161844,,,0.086359048
08.06.23,2,2,Cas9,13,3.4,Ovaries,Female,21.87,,,,,,,
08.06.23,2,2,Cas9,13,3.4,Ovaries,Female,22.18,,,,,,,
08.06.23,2,2,RPE,13,3.4,Ovaries,Female,23.88,,24.52088776,,,25.83071236,,
08.06.23,2,2,RPE,13,3.4,Ovaries,Female,24.48,,,,,,,
08.06.23,2,2,RPE,13,3.4,Ovaries,Female,24.56,,,,,,,
08.06.23,2,2,RPL19,13,3.4,Ovaries,Female,18.68,,,18.76570766,,,19.7681096,
08.06.23,2,2,RPL19,13,3.4,Ovaries,Female,18.87,,,,,,,
08.06.23,2,2,RPL19,13,3.4,Ovaries,Female,18.75,,,,,,,
08.06.23,2,2,Cas9,23,004.2A,Testes,Male,29.17,29.01969248,,,30.56982832,,,0.007103761
08.06.23,2,2,Cas9,23,004.2A,Testes,Male,28.85,,,,,,,
08.06.23,2,2,Cas9,23,004.2A,Testes,Male,29.04,,,,,,,
08.06.23,2,2,RPE,23,004.2A,Testes,Male,26.04,,NA,,,,,
08.06.23,2,2,RPE,23,004.2A,Testes,Male,26.93,,,,,,,
08.06.23,2,2,RPE,23,004.2A,Testes,Male,27.48,,,,,,,
08.06.23,2,2,RPL19,23,004.2A,Testes,Male,22.12,,,22.2444047,,,23.43262712,
08.06.23,2,2,RPL19,23,004.2A,Testes,Male,22.55,,,,,,,
08.06.23,2,2,RPL19,23,004.2A,Testes,Male,22.06,,,,,,,
08.06.23,2,2,RPE,29,004.2C,Ovaries,Female,24.24,,,,,,,
08.06.23,2,2,RPE,29,004.2C,Ovaries,Female,23.65,,,,,,,
08.06.23,2,2,RPE,29,004.2C,Ovaries,Female,23.56,,23.60668057,,,24.86767125,,
08.06.23,2,2,Cas9,32,004.2C,Soma F,Female,30.73,30.49283279,,,32.12165891,,,0.002370802
08.06.23,2,2,Cas9,32,004.2C,Soma F,Female,30.47,,,,,,,
08.06.23,2,2,Cas9,32,004.2C,Soma F,Female,30.28,,,,,,,
08.06.23,2,2,RPE,32,004.2C,Soma F,Female,30.65,,30.82701328,,,32.47369021,,
08.06.23,2,2,RPE,32,004.2C,Soma F,Female,31.00,,,,,,,
08.06.23,2,2,RPE,32,004.2C,Soma F,Female,32.07,,,,,,,
08.06.23,2,2,RPL19,32,004.2C,Soma F,Female,22.04,,,22.21461852,,,23.40124986,
08.06.23,2,2,RPL19,32,004.2C,Soma F,Female,22.81,,,,,,,
08.06.23,2,2,RPL19,32,004.2C,Soma F,Female,22.39,,,,,,,
08.06.23,2,2,Cas9,33,Ben,Soma M,Male,,NA,,,,,,
08.06.23,2,2,Cas9,33,Ben,Soma M,Male,,,,,,,,
08.06.23,2,2,Cas9,33,Ben,Soma M,Male,,,,,,,,
08.06.23,2,2,RPE,33,Ben,Soma M,Male,27.06,,27.69246986,,,29.17170987,,
08.06.23,2,2,RPE,33,Ben,Soma M,Male,27.51,,,,,,,
08.06.23,2,2,RPE,33,Ben,Soma M,Male,27.87,,,,,,,
08.06.23,2,2,RPL19,33,Ben,Soma M,Male,21.27,,,21.34495278,,,22.48512945,
08.06.23,2,2,RPL19,33,Ben,Soma M,Male,21.42,,,,,,,
08.06.23,2,2,RPL19,33,Ben,Soma M,Male,21.35,,,,,,,
08.06.23,2,2,Cas9,42,3.4,Soma M,Male,23.41,23.50476338,,,24.76030998,,,0.129095573
08.06.23,2,2,Cas9,42,3.4,Soma M,Male,23.40,,,,,,,
08.06.23,2,2,Cas9,42,3.4,Soma M,Male,23.71,,,,,,,
08.06.23,2,2,RPE,42,3.4,Soma M,Male,26.71,,27.30925236,,,28.76802216,,
08.06.23,2,2,RPE,42,3.4,Soma M,Male,27.15,,,,,,,
08.06.23,2,2,RPE,42,3.4,Soma M,Male,27.47,,,,,,,
08.06.23,2,2,RPL19,42,3.4,Soma M,Male,20.81,,,20.70104041,,,21.80682142,
08.06.23,2,2,RPL19,42,3.4,Soma M,Male,20.89,,,,,,,
08.06.23,2,2,RPL19,42,3.4,Soma M,Male,20.40,,,,,,,
08.06.23,2,2,Cas9,43,004.2A,Ovaries,Female,29.04,29.12835051,,,30.6842905,,,0.00073269
08.06.23,2,2,Cas9,43,004.2A,Ovaries,Female,29.85,,,,,,,
08.06.23,2,2,Cas9,43,004.2A,Ovaries,Female,29.22,,,,,,,
08.06.23,2,2,RPE,43,004.2A,Ovaries,Female,25.04,,25.18001969,,,26.52505293,,
08.06.23,2,2,RPE,43,004.2A,Ovaries,Female,25.32,,,,,,,
08.06.23,2,2,RPE,43,004.2A,Ovaries,Female,26.14,,,,,,,
08.06.23,2,2,RPL19,43,004.2A,Ovaries,Female,19.06,,,19.24194032,,,20.26978103,
08.06.23,2,2,RPL19,43,004.2A,Ovaries,Female,19.15,,,,,,,
08.06.23,2,2,RPL19,43,004.2A,Ovaries,Female,19.52,,,,,,,
08.06.23,2,2,Cas9,52,Ben,Soma F,Female,37.13,NA,,,,,,
08.06.23,2,2,Cas9,52,Ben,Soma F,Female,38.41,,,,,,,
08.06.23,2,2,Cas9,52,Ben,Soma F,Female,37.26,,,,,,,
08.06.23,2,2,RPE,52,Ben,Soma F,Female,27.40,,27.31977553,,,28.77910744,,
08.06.23,2,2,RPE,52,Ben,Soma F,Female,27.38,,,,,,,
08.06.23,2,2,RPE,52,Ben,Soma F,Female,27.18,,,,,,,
08.06.23,2,2,RPL19,52,Ben,Soma F,Female,20.05,,,20.02227159,,,21.09179501,
08.06.23,2,2,RPL19,52,Ben,Soma F,Female,20.00,,,,,,,
08.06.23,2,2,RPL19,52,Ben,Soma F,Female,19.48,,,,,,,
08.06.23,2,2,Cas9,53,004.2A,Soma F,Female,27.40,27.63877186,,,29.11514349,,,0.018176339
08.06.23,2,2,Cas9,53,004.2A,Soma F,Female,27.74,,,,,,,
08.06.23,2,2,Cas9,53,004.2A,Soma F,Female,27.78,,,,,,,
08.06.23,2,2,RPE,53,004.2A,Soma F,Female,28.69,,NA,,,,,
08.06.23,2,2,RPE,53,004.2A,Soma F,Female,29.60,,,,,,,
08.06.23,2,2,RPE,53,004.2A,Soma F,Female,30.25,,,,,,,
08.06.23,2,2,RPL19,53,004.2A,Soma F,Female,22.06,,,22.15016077,,,23.33334898,
08.06.23,2,2,RPL19,53,004.2A,Soma F,Female,22.12,,,,,,,
08.06.23,2,2,RPL19,53,004.2A,Soma F,Female,22.27,,,,,,,
09.06.23,1,3,Cas9,4,3.4,Soma M,Male,23.66,23.61644258,,,24.70763199,,,0.225290299
09.06.23,1,3,Cas9,4,3.4,Soma M,Male,23.57,,,,,,,
09.06.23,1,3,Cas9,4,3.4,Soma M,Male,24.09,,,,,,,
09.06.23,1,3,RPE,4,3.4,Soma M,Male,27.10,,28.06694217,,,29.36376535,,
09.06.23,1,3,RPE,4,3.4,Soma M,Male,27.90,,,,,,,
09.06.23,1,3,RPE,4,3.4,Soma M,Male,28.24,,,,,,,
09.06.23,1,3,RPL19,4,3.4,Soma M,Male,21.48,,,21.56125872,,,22.55748909,
09.06.23,1,3,RPL19,4,3.4,Soma M,Male,21.68,,,,,,,
09.06.23,1,3,RPL19,4,3.4,Soma M,Male,21.53,,,,,,,
09.06.23,1,3,Cas9,5,Ben,Soma M,Male,34.30,NA,,,,,,
09.06.23,1,3,Cas9,5,Ben,Soma M,Male,34.03,,,,,,,
09.06.23,1,3,Cas9,5,Ben,Soma M,Male,34.16,,,,,,,
09.06.23,1,3,RPE,5,Ben,Soma M,Male,29.53,,NA,,,,,
09.06.23,1,3,RPE,5,Ben,Soma M,Male,30.42,,,,,,,
09.06.23,1,3,RPE,5,Ben,Soma M,Male,31.34,,,,,,,
09.06.23,1,3,RPL19,5,Ben,Soma M,Male,25.44,,,25.91206554,,,27.1093234,
09.06.23,1,3,RPL19,5,Ben,Soma M,Male,26.07,,,,,,,
09.06.23,1,3,RPL19,5,Ben,Soma M,Male,25.75,,,,,,,
09.06.23,1,3,Cas9,14,004.2A,Ovaries,Female,26.67,26.80216243,,,28.04054691,,,0.004193694
09.06.23,1,3,Cas9,14,004.2A,Ovaries,Female,26.94,,,,,,,
09.06.23,1,3,Cas9,14,004.2A,Ovaries,Female,26.80,,,,,,,
09.06.23,1,3,RPE,14,004.2A,Ovaries,Female,23.79,,24.0060058,,,25.11519484,,
09.06.23,1,3,RPE,14,004.2A,Ovaries,Female,23.95,,,,,,,
09.06.23,1,3,RPE,14,004.2A,Ovaries,Female,24.28,,,,,,,
09.06.23,1,3,RPL19,14,004.2A,Ovaries,Female,19.26,,,19.25338828,,,20.1429843,
09.06.23,1,3,RPL19,14,004.2A,Ovaries,Female,19.35,,,,,,,
09.06.23,1,3,RPL19,14,004.2A,Ovaries,Female,19.15,,,,,,,
09.06.23,1,3,Cas9,15,004.2C,Ovaries,Female,35.40,NA,,,,,,
09.06.23,1,3,Cas9,15,004.2C,Ovaries,Female,35.40,,,,,,,
09.06.23,1,3,Cas9,15,004.2C,Ovaries,Female,35.80,,,,,,,
09.06.23,1,3,RPE,15,004.2C,Ovaries,Female,32.49,,33.10802247,,,34.63776699,,
09.06.23,1,3,RPE,15,004.2C,Ovaries,Female,32.99,,,,,,,
09.06.23,1,3,RPE,15,004.2C,Ovaries,Female,33.23,,,,,,,
09.06.23,1,3,RPL19,15,004.2C,Ovaries,Female,24.96,,,25.04410333,,,26.2012573,
09.06.23,1,3,RPL19,15,004.2C,Ovaries,Female,25.13,,,,,,,
09.06.23,1,3,RPL19,15,004.2C,Ovaries,Female,25.52,,,,,,,
09.06.23,1,3,Cas9,24,004.2C,Testes,Male,31.17,30.96274614,,,32.39336892,,,0.00304362
09.06.23,1,3,Cas9,24,004.2C,Testes,Male,30.15,,,,,,,
09.06.23,1,3,Cas9,24,004.2C,Testes,Male,30.76,,,,,,,
09.06.23,1,3,RPE,24,004.2C,Testes,Male,28.06,,28.27075327,,,29.57699347,,
09.06.23,1,3,RPE,24,004.2C,Testes,Male,28.48,,,,,,,
09.06.23,1,3,RPE,24,004.2C,Testes,Male,29.00,,,,,,,
09.06.23,1,3,RPL19,24,004.2C,Testes,Male,22.90,,,22.97196144,,,24.03337283,
09.06.23,1,3,RPL19,24,004.2C,Testes,Male,23.08,,,,,,,
09.06.23,1,3,RPL19,24,004.2C,Testes,Male,22.93,,,,,,,
09.06.23,1,3,Cas9,25,Ben,Testes,Male,,NA,,,,,,
09.06.23,1,3,Cas9,25,Ben,Testes,Male,,,,,,,,
09.06.23,1,3,Cas9,25,Ben,Testes,Male,,,,,,,,
09.06.23,1,3,RPE,25,Ben,Testes,Male,27.02,,NA,,,,,
09.06.23,1,3,RPE,25,Ben,Testes,Male,28.20,,,,,,,
09.06.23,1,3,RPE,25,Ben,Testes,Male,29.40,,,,,,,
09.06.23,1,3,RPL19,25,Ben,Testes,Male,19.96,,,20.97196503,,,21.94096729,
09.06.23,1,3,RPL19,25,Ben,Testes,Male,20.70,,,,,,,
